ts_code,hold_ratio,top_10_d_r
000611.SZ,24.290000000000006,24.290000000000006
000612.SZ,58.62,58.62
000613.SZ,35.0,35.0
000615.SZ,51.39,51.39
000616.SZ,26.09,26.09
000617.SZ,94.0,94.0
000619.SZ,43.85999999999999,43.85999999999999
000620.SZ,77.65,77.65
000622.SZ,44.5,44.5
000623.SZ,44.31,44.31
000625.SZ,37.77,37.77
000626.SZ,67.10000000000001,67.10000000000001
000627.SZ,74.83,74.83
000628.SZ,51.69999999999999,51.69999999999999
000629.SZ,63.94,63.94
000630.SZ,51.09,51.09
000631.SZ,80.60000000000002,80.60000000000002
000632.SZ,51.2,51.2
000633.SZ,39.52,39.52
000635.SZ,57.02,57.02
000636.SZ,30.97,30.97
000637.SZ,48.9,48.9
000638.SZ,44.96,44.96
000639.SZ,67.06,67.06
000650.SZ,35.74,35.74
000651.SZ,52.33,52.33
000652.SZ,38.01,38.01
000655.SZ,62.53999999999999,62.53999999999999
000656.SZ,58.53,58.53
000657.SZ,64.1,64.1
000659.SZ,36.61,36.61
000661.SZ,43.36,43.36
000662.SZ,58.64,58.64
000663.SZ,54.81999999999999,54.81999999999999
000665.SZ,58.72000000000001,58.72000000000001
000666.SZ,63.52,63.52
000667.SZ,28.9,28.9
000668.SZ,51.64,51.64
000669.SZ,51.19,51.19
000671.SZ,52.1921,52.1921
000672.SZ,66.83000000000001,66.83000000000001
000673.SZ,56.32,56.32
000676.SZ,38.72,38.72
000677.SZ,37.71,37.71
000678.SZ,54.03999999999999,54.03999999999999
000679.SZ,34.99,34.99
000680.SZ,34.56,34.56
000681.SZ,53.78,53.78
000682.SZ,43.25999999999999,43.25999999999999
000683.SZ,47.46,47.46
000685.SZ,67.35,67.35
000686.SZ,51.540000000000006,51.540000000000006
000687.SZ,48.37000000000001,48.37000000000001
000688.SZ,82.97000000000001,82.97000000000001
000690.SZ,21.01,21.01
000691.SZ,37.540000000000006,37.540000000000006
000692.SZ,40.71,40.71
000695.SZ,42.35,42.35
000697.SZ,43.45,43.45
000698.SZ,52.90000000000001,52.90000000000001
000700.SZ,40.62000000000001,40.62000000000001
000701.SZ,36.35,36.35
000702.SZ,38.29,38.29
000703.SZ,64.75,64.75
000705.SZ,34.9,34.9
000707.SZ,34.87,34.87
000708.SZ,95.16,95.16
000709.SZ,68.6364,68.6364
000710.SZ,58.1,58.1
000711.SZ,61.89000000000001,61.89000000000001
000712.SZ,54.91,54.91
000713.SZ,38.06,38.06
000715.SZ,62.40000000000001,62.40000000000001
000716.SZ,46.55,46.55
000717.SZ,58.22,58.22
000718.SZ,70.78,70.78
000719.SZ,85.44,85.44
000720.SZ,52.61,52.61
000721.SZ,35.63,35.63
000722.SZ,58.78,58.78
000723.SZ,68.03,68.03
