ts_code,hold_ratio,top10_d_r
000603.SZ,55.44,55.44
000605.SZ,61.709999999999994,61.709999999999994
000606.SZ,48.43,48.43
000607.SZ,65.26,65.26
000608.SZ,59.11,59.11
000609.SZ,37.01999999999999,37.01999999999999
000610.SZ,37.879999999999995,37.879999999999995
000611.SZ,24.289999999999996,24.289999999999996
000612.SZ,58.62000000000001,58.62000000000001
000613.SZ,35.00000000000001,35.00000000000001
000615.SZ,51.39000000000001,51.39000000000001
000616.SZ,26.09,26.09
000617.SZ,93.99999999999999,93.99999999999999
000619.SZ,43.86,43.86
000620.SZ,77.65,77.65
000622.SZ,44.5,44.5
000623.SZ,44.31,44.31
000625.SZ,37.769999999999996,37.769999999999996
000626.SZ,67.10000000000001,67.10000000000001
000627.SZ,74.83,74.83
000628.SZ,51.699999999999996,51.699999999999996
000629.SZ,63.94000000000001,63.94000000000001
000630.SZ,51.089999999999996,51.089999999999996
000631.SZ,80.60000000000001,80.60000000000001
000632.SZ,51.2,51.2
000633.SZ,39.519999999999996,39.519999999999996
000635.SZ,57.019999999999996,57.019999999999996
000636.SZ,30.970000000000002,30.970000000000002
000637.SZ,48.9,48.9
000638.SZ,44.96,44.96
000639.SZ,67.05999999999999,67.05999999999999
000650.SZ,35.739999999999995,35.739999999999995
000651.SZ,52.330000000000005,52.330000000000005
000652.SZ,38.01,38.01
000655.SZ,62.54,62.54
000656.SZ,58.53000000000001,58.53000000000001
000657.SZ,64.1,64.1
000659.SZ,36.61,36.61
000661.SZ,43.36,43.36
000662.SZ,58.64,58.64
000663.SZ,54.82,54.82
000665.SZ,58.72,58.72
000666.SZ,63.52,63.52
000667.SZ,28.900000000000002,28.900000000000002
000668.SZ,51.640000000000015,51.640000000000015
000669.SZ,51.19,51.19
000671.SZ,52.192099999999996,52.192099999999996
000672.SZ,66.83,66.83
000673.SZ,56.31999999999999,56.31999999999999
000676.SZ,38.72,38.72
000677.SZ,37.709999999999994,37.709999999999994
000678.SZ,54.03999999999999,54.03999999999999
000679.SZ,34.989999999999995,34.989999999999995
000680.SZ,34.56,34.56
000681.SZ,53.779999999999994,53.779999999999994
000682.SZ,43.26,43.26
000683.SZ,47.46,47.46
