ts_code,hold_ratio,top10_d_r
000001.SZ,71.61000000000001,71.61000000000001
000002.SZ,60.39999999999999,60.39999999999999
000004.SZ,60.760000000000005,60.760000000000005
000005.SZ,18.9298,18.9298
000006.SZ,45.339999999999996,45.339999999999996
000007.SZ,48.48,48.48
000008.SZ,37.59,37.59
000009.SZ,15.540000000000001,15.540000000000001
000010.SZ,45.589999999999996,45.589999999999996
000011.SZ,62.83,62.83
000012.SZ,31.78,31.78
000014.SZ,41.95000000000001,41.95000000000001
000016.SZ,40.04,40.04
000017.SZ,21.89,21.89
000019.SZ,74.06,74.06
000020.SZ,60.7,60.7
000021.SZ,43.86,43.86
000023.SZ,45.2352,45.2352
000025.SZ,64.98,64.98
000026.SZ,45.940000000000005,45.940000000000005
000027.SZ,79.06,79.06
000028.SZ,69.97,69.97
000029.SZ,65.70999999999998,65.70999999999998
000030.SZ,72.99,72.99
000031.SZ,82.4,82.4
000032.SZ,66.28999999999999,66.28999999999999
000034.SZ,51.480000000000004,51.480000000000004
000035.SZ,51.3,51.3
000036.SZ,39.589999999999996,39.589999999999996
000037.SZ,48.129999999999995,48.129999999999995
000038.SZ,70.31,70.31
000039.SZ,77.92,77.92
000040.SZ,46.95,46.95
000042.SZ,76.37,76.37
000045.SZ,52.74,52.74
000046.SZ,82.31,82.31
000048.SZ,83.98,83.98
000049.SZ,63.83,63.83
000050.SZ,50.01,50.01
000055.SZ,20.43,20.43
000056.SZ,54.8,54.8
000058.SZ,59.120000000000005,59.120000000000005
000059.SZ,53.03,53.03
000060.SZ,42.82000000000001,42.82000000000001
000061.SZ,106.29,106.29
000062.SZ,79.82000000000001,79.82000000000001
000063.SZ,47.10999999999999,47.10999999999999
000065.SZ,68.67,68.67
000066.SZ,47.660000000000004,47.660000000000004
000068.SZ,41.88,41.88
000069.SZ,64.62,64.62
000070.SZ,47.11,47.11
000078.SZ,47.6,47.6
000088.SZ,78.26,78.26
000089.SZ,69.95,69.95
000090.SZ,39.57,39.57
000096.SZ,77.74,77.74
000099.SZ,46.650000000000006,46.650000000000006
000100.SZ,27.700000000000003,27.700000000000003
000150.SZ,53.68,53.68
000151.SZ,49.24,49.24
000153.SZ,35.17,35.17
000155.SZ,56.129999999999995,56.129999999999995
000156.SZ,70.9,70.9
000157.SZ,60.88999999999999,60.88999999999999
000158.SZ,40.86,40.86
000159.SZ,28.75,28.75
